DrugBank ID,Similar Structure
DB00687,"['DB00687', ' DB01185', ' DB00443', ' DB01234', ' DB11522', ' DB13491', ' DB00324', ' DB00620', ' DB08970', ' DB00547', ' DB00223', ' DB00663', ' DB00741', ' DB13610', ' DB12553', ' DB09095', ' DB11750', ' DB04652', ' DB14640', ' DB14649', ' DB04630', ' DB01384', ' DB09378', ' DB09091', ' DB00253', ' DB00596', ' DB13728']"
DB00695,['DB00695']
DB00700,"['DB00700', ' DB08547', ' DB14544', ' DB14543', ' DB14540', ' DB14538', ' DB14545', ' DB14541', ' DB02329', ' DB08308', ' DB08619', ' DB01395', ' DB04376', ' DB06789', ' DB14677', ' DB08804', ' DB13943', ' DB13944', ' DB13946', ' DB16001', ' DB16002', ' DB16141', ' DB14539', ' DB17045', ' DB13185', ' DB01420', ' DB13640']"
DB00703,['DB00703']
DB00708,"['DB00708', ' DB09180', ' DB09179', ' DB01439', ' DB09170', ' DB01470', ' DB01535', ' DB15360', ' DB09174']"
DB00714,"['DB00714', ' DB16927', ' DB17202']"
DB00723,"['DB00723', ' DB01467', ' DB01465', ' DB01528', ' DB00610']"
DB00741,"['DB00741', ' DB04652', ' DB04630', ' DB00253', ' DB09091', ' DB13230', ' DB14570', ' DB13710', ' DB18000', ' DB00624', ' DB01471', ' DB01543', ' DB01564', ' DB05830', ' DB06710', ' DB07768', ' DB11429', ' DB12787', ' DB13169', ' DB13533', ' DB14093', ' DB14584', ' DB14681', ' DB01485', ' DB01500', ' DB01540', ' DB00860', ' DB00959', ' DB14539', ' DB16935']"
DB00742,"['DB00742', ' DB01638', ' DB02399', ' DB03815', ' DB03106', ' DB13178', ' DB15350', ' DB15908', ' DB11195', ' DB14704', ' DB14108', ' DB04079']"
DB00745,"['DB00745', ' DB06413', ' DB08925']"
DB00764,"['DB00764', ' DB00240', ' DB00838', ' DB14221', ' DB00394', ' DB00860', ' DB00959', ' DB13208', ' DB00896', ' DB11750', ' DB14652', ' DB13856']"
DB00774,"['DB00774', ' DB00436', ' DB00999']"
DB00802,"['DB00802', ' DB09172', ' DB09181']"
DB00808,"['DB00808', ' DB07467']"
DB00813,"['DB00813', ' DB09173', ' DB01557', ' DB09171', ' DB01571', ' DB01532', ' DB01453', ' DB09177', ' DB09178', ' DB09169', ' DB01570', ' DB13653', ' DB09179', ' DB09182', ' DB09180', ' DB01439', ' DB01470', ' DB09168']"
DB00816,"['DB00816', ' DB00871', ' DB08985', ' DB01064', ' DB00388', ' DB01288', ' DB00668', ' DB13378', ' DB13494', ' DB00221', ' DB08957']"
DB00819,['DB00819']
DB00830,"['DB00830', ' DB01579']"
DB00838,"['DB00838', ' DB14652', ' DB14653', ' DB08971', ' DB13856', ' DB13223', ' DB01384', ' DB09378', ' DB00596', ' DB00764', ' DB00240', ' DB09095', ' DB00223', ' DB00663', ' DB12553', ' DB15777', ' DB15821', ' DB14637', ' DB14657', ' DB13728', ' DB11750', ' DB14664', ' DB00394', ' DB08973', ' DB14221']"
DB00841,"['DB00841', ' DB12313', ' DB11541', ' DB06618']"
DB00846,"['DB00846', ' DB14673', ' DB00180', ' DB14662', ' DB00591', ' DB06786', ' DB01047', ' DB18738', ' DB01260', ' DB00288', ' DB01222', ' DB08973', ' DB01410', ' DB14637', ' DB14657']"
DB00852,"['DB00852', ' DB01364', ' DB14752', ' DB11278', ' DB11587', ' DB00397', ' DB01486', ' DB11610', ' DB00867', ' DB01577', ' DB09571', ' DB15902']"
DB00858,"['DB00858', ' DB02854', ' DB02901', ' DB05087', ' DB07447', ' DB11859', ' DB12308', ' DB12972', ' DB13587', ' DB11371', ' DB06622', ' DB08956', ' DB02817', ' DB16260', ' DB03619', ' DB01586', ' DB02659', ' DB05990', ' DB06777', ' DB11789', ' DB11622', ' DB18044', ' DB16870', ' DB01530', ' DB01561', ' DB03882', ' DB03926', ' DB04693', ' DB07375', ' DB07557']"
DB00860,"['DB00860', ' DB00959', ' DB13208', ' DB00896', ' DB00635', ' DB09383', ' DB12952', ' DB01569', ' DB00741', ' DB15114', ' DB00443', ' DB01234', ' DB11522', ' DB13491', ' DB15566', ' DB00240', ' DB00324', ' DB01384', ' DB09378', ' DB14631', ' DB00547', ' DB01541', ' DB13586', ' DB00873', ' DB12081', ' DB04652', ' DB00620', ' DB14632', ' DB04630', ' DB15999']"
DB00865,"['DB00865', ' DB13561']"
DB00866,"['DB00866', ' DB01359', ' DB00264']"
DB00867,"['DB00867', ' DB11610', ' DB06152', ' DB01288', ' DB11541', ' DB08954', ' DB13206', ' DB11587', ' DB00221', ' DB08941', ' DB00852', ' DB01364', ' DB09203', ' DB14752', ' DB11278', ' DB01064']"
DB00869,"['DB00869', ' DB04081']"
DB00871,"['DB00871', ' DB00816', ' DB08985', ' DB01064', ' DB00388', ' DB01288', ' DB00668', ' DB13378', ' DB13494', ' DB00221', ' DB08957']"
DB00872,['DB00872']
DB14596,"['DB14596', ' DB01130', ' DB00873', ' DB05442', ' DB01410', ' DB01260', ' DB01222']"
DB00880,['DB00880']
DB00882,"['DB00882', ' DB06735', ' DB00269', ' DB00675', ' DB04468', ' DB00539']"
DB00883,"['DB00883', ' DB01020']"
DB00887,"['DB00887', ' DB02925']"
DB00894,"['DB00894', ' DB14639', ' DB08804', ' DB13943', ' DB13944', ' DB13946', ' DB16001', ' DB16002', ' DB16141', ' DB15999', ' DB14643', ' DB14632', ' DB15566', ' DB01395', ' DB01420', ' DB14633', ' DB14644', ' DB13640', ' DB08308', ' DB08619', ' DB00873', ' DB14678', ' DB13958', ' DB02329', ' DB14625', ' DB14646', ' DB06789', ' DB14677', ' DB13185', ' DB05442']"
DB00896,"['DB00896', ' DB00860', ' DB00959', ' DB13208', ' DB01541', ' DB13586', ' DB00635', ' DB09383', ' DB12952', ' DB01569', ' DB07373', ' DB12194', ' DB00253', ' DB15114', ' DB00547', ' DB04652', ' DB04630', ' DB00873', ' DB00324', ' DB08971', ' DB12081', ' DB00443', ' DB01234', ' DB11522', ' DB13491', ' DB15566', ' DB00741', ' DB00240', ' DB00764', ' DB13223']"
DB00899,"['DB00899', ' DB01535', ' DB15360', ' DB09174']"
DB00901,"['DB00901', ' DB00449']"
DB00903,['DB00903']
DB00907,"['DB00907', ' DB01515']"
DB00921,"['DB00921', ' DB01450', ' DB01548', ' DB16072', ' DB01565', ' DB01551', ' DB01512', ' DB01538', ' DB00844', ' DB14146', ' DB16117', ' DB09049', ' DB01531', ' DB15341', ' DB01480', ' DB01497', ' DB01469', ' DB06230', ' DB00497', ' DB00704', ' DB01192', ' DB06800', ' DB00956', ' DB00327', ' DB00318', ' DB00295', ' DB01477', ' DB01466', ' DB01183', ' DB04509']"
DB00937,"['DB00937', ' DB15339', ' DB13108', ' DB01560', ' DB13285']"
DB00938,"['DB00938', ' DB09082', ' DB01001', ' DB13139']"
DB00947,"['DB00947', ' DB15690', ' DB00783', ' DB04573', ' DB07702', ' DB07706', ' DB00977']"
DB00959,"['DB00860', ' DB00959', ' DB13208', ' DB00896', ' DB00635', ' DB09383', ' DB12952', ' DB01569', ' DB00741', ' DB15114', ' DB00443', ' DB01234', ' DB11522', ' DB13491', ' DB15566', ' DB00240', ' DB00324', ' DB01384', ' DB09378', ' DB14631', ' DB00547', ' DB01541', ' DB13586', ' DB00873', ' DB12081', ' DB04652', ' DB00620', ' DB14632', ' DB04630', ' DB15999']"
DB00960,"['DB00960', ' DB07543', ' DB13530', ' DB01136']"
DB00983,"['DB00983', ' DB01274', ' DB13625']"
DB00984,"['DB00984', ' DB16003', ' DB08804', ' DB13943', ' DB13944', ' DB13946', ' DB16001', ' DB16002', ' DB16141', ' DB01420', ' DB08308', ' DB08619', ' DB13958', ' DB01395', ' DB14678', ' DB06789', ' DB14677', ' DB12499', ' DB00603', ' DB11440', ' DB13185', ' DB02329', ' DB13640', ' DB08547', ' DB01134', ' DB14540', ' DB14544', ' DB15984', ' DB14543']"
DB00990,"['DB00990', ' DB07373', ' DB12194', ' DB00896', ' DB09124', ' DB00378']"
DB00999,"['DB00999', ' DB01021', ' DB08645', ' DB00232', ' DB15861', ' DB13430', ' DB13532', ' DB13989', ' DB00774', ' DB01324']"
DB01001,"['DB01001', ' DB13139', ' DB00938', ' DB01064', ' DB13206']"
DB01006,['DB01006']
DB01013,"['DB01013', ' DB14640', ' DB14649', ' DB11750', ' DB06781', ' DB14664', ' DB14634', ' DB00596', ' DB15777', ' DB00288', ' DB14643', ' DB15821', ' DB00324', ' DB11487', ' DB14221', ' DB12322', ' DB00443', ' DB01234', ' DB11522', ' DB13491', ' DB14653', ' DB00394', ' DB14637', ' DB14657', ' DB14652', ' DB13158', ' DB00620', ' DB00547', ' DB00588', ' DB14632']"
DB01020,"['DB00883', ' DB01020']"
DB01021,"['DB01021', ' DB08645', ' DB00232', ' DB15861', ' DB00999', ' DB13430', ' DB13532', ' DB13989', ' DB01324', ' DB00606']"
DB01032,['DB01032']
DB01037,"['DB01037', ' DB12650', ' DB13285', ' DB04677', ' DB01577', ' DB09571', ' DB01550', ' DB01365', ' DB13852']"
DB01047,"['DB01047', ' DB18737', ' DB00591', ' DB14662', ' DB00288', ' DB00180', ' DB14673', ' DB06781', ' DB01410', ' DB00846', ' DB14664', ' DB14637', ' DB14657', ' DB08973', ' DB01260', ' DB06786', ' DB12322', ' DB14640', ' DB14649', ' DB01222', ' DB12553', ' DB14634', ' DB15777', ' DB01130', ' DB15821', ' DB13664', ' DB00223', ' DB00663', ' DB00588', ' DB01013']"
DB01064,"['DB01064', ' DB00668', ' DB00816', ' DB00871', ' DB08985', ' DB00221', ' DB08957', ' DB00368', ' DB00388', ' DB01288', ' DB13494', ' DB01102', ' DB09203', ' DB13917', ' DB06814', ' DB00867', ' DB01001', ' DB13139', ' DB06707', ' DB13206', ' DB13378']"
DB01105,['DB01105']
