DrugBank ID,Doping,Similar Structure
DB00194,0,"DB00194, DB00640, DB03528, DB12156, DB03716, DB01073, DB04441, DB04440, DB03273, DB02916, DB16075, DB17756, DB02282, DB11933, DB07170, DB04102, DB07052, DB00131, DB02162, DB02373, DB02607, DB03011, DB02947, DB00242, DB01910, DB04853, DB02934, DB03952, DB02753, DB03230"
DB00195,1,"DB00195, DB09351, DB00264, DB00335, DB06987, DB13443"
DB00196,0,"DB00196, DB09040"
DB00197,0,"DB00197, DB08607, DB14035, DB09201"
DB00198,0,"DB00198, DB02600"
DB00199,0,"DB00199, DB01211, DB11442, DB13338, DB13179, DB11474, DB00207, DB11416, DB00778, DB00954, DB01321, DB13456, DB13409, DB11383, DB09309, DB15981, DB11554"
DB00200,0,"DB00200, DB03614, DB11191, DB11467, DB03469, DB05168, DB02667, DB00115, DB03317, DB03906, DB04803, DB05735, DB02832, DB02975, DB15673, DB12674, DB02949, DB11641, DB00361, DB16186, DB13013, DB14098, DB09387, DB16312, DB02868, DB17390, DB14092, DB00541, DB12586, DB17385"
DB00201,0,"DB00201, DB01412, DB00277, DB01223, DB01303, DB13812, DB03293, DB13592, DB13573, DB14132, DB13449, DB01778, DB09273, DB14018, DB00651, DB13634, DB18002, DB00824, DB12406, DB15122, DB07954, DB17930, DB00806, DB09092"
DB00202,0,DB00202
DB00203,0,"DB00203, DB11927, DB06267, DB11902, DB11792, DB08729, DB00862"
DB00204,0,DB00204
DB00205,0,"DB00205, DB07577, DB04655, DB07244"
DB00206,0,"DB00206, DB01089, DB13631, DB13575, DB01180, DB11530, DB01392, DB15949, DB13374, DB00541, DB02868, DB17390, DB00570, DB12131, DB00309, DB01967, DB12586, DB05168, DB11641, DB12674, DB11467, DB00361, DB12755, DB00200, DB02191, DB11191, DB13793, DB04877, DB15096, DB03614"
DB00207,0,"DB00207, DB11416, DB11474, DB00199, DB01211, DB11442, DB00954, DB13338, DB13179, DB11471, DB00778, DB11470, DB01321, DB13456, DB13409, DB13540"
DB00208,0,"DB00208, DB00758"
DB00209,0,"DB00209, DB02161, DB11181, DB00725, DB00332, DB00424, DB00572, DB13833, DB11785, DB16896, DB00747, DB11315, DB13542, DB00462, DB09300, DB12086, DB12278, DB08978, DB16011, DB13369, DB09271, DB13507, DB13844, DB04843, DB00771, DB15968"
DB00210,0,DB00210
DB00211,1,DB00211
DB00212,0,"DB00212, DB03395, DB13742, DB06260, DB18634"
DB00213,0,"DB00213, DB00338, DB00736"
DB00214,1,DB00214
DB00215,0,"DB00215, DB01175, DB09190"
DB00216,0,DB00216
DB00217,0,DB00217
DB00218,0,"DB00218, DB01044, DB06600, DB11453, DB01137, DB01165, DB03034, DB11393, DB01208, DB11847, DB09047, DB11443, DB06771, DB13261, DB11404, DB00537, DB00365, DB00978, DB14025, DB12447, DB16219, DB00487, DB01059, DB04576, DB11892, DB11426, DB01405, DB11511, DB11491, DB11774"
DB00219,0,"DB00219, DB00986, DB00979, DB11504, DB13497, DB01062, DB00383, DB11186, DB16287, DB09023, DB13181"
DB00220,0,DB00220
DB00221,1,"DB00221, DB01064, DB13559, DB01288, DB06707, DB01102, DB06814, DB00867, DB00668, DB06152, DB00816, DB11610, DB08957, DB00871, DB00610, DB08985"
DB00222,0,DB00222
DB00223,1,"DB00223, DB00663, DB09095, DB12553, DB00596, DB01384, DB09378, DB00443, DB01234, DB11522, DB13491, DB00324, DB08971, DB13728, DB00620, DB08970, DB13223, DB00547, DB14664, DB11750, DB06781, DB13867, DB14637, DB14657, DB14640, DB14649, DB15777, DB15821, DB00687, DB14669"
DB00224,0,"DB00224, DB01721, DB02009, DB02704"
DB00225,0,"DB00225, DB00538, DB04229, DB00789, DB14007, DB09425, DB00974, DB02810, DB13404, DB14600, DB14598, DB14599, DB09132"
DB00226,0,DB00226
DB00227,0,"DB00227, DB00641, DB06693, DB14648, DB03785, DB14714, DB00175, DB08224"
DB00228,0,DB00228
DB00229,0,"DB00229, DB00267, DB00923, DB01326, DB01212, DB01328, DB00535, DB14725, DB13504, DB13821, DB00671, DB01329, DB01327, DB00430, DB00274, DB13461, DB09062, DB01413, DB13470, DB01416, DB11485, DB13266, DB00493, DB01330, DB11505, DB01415, DB01066, DB00438, DB01332, DB13638"
DB00230,0,"DB00230, DB15264, DB12032, DB00996, DB02878, DB02941"
DB00231,0,"DB00231, DB00842, DB13872, DB00829, DB00186, DB13837, DB14671, DB13335, DB01489, DB01594, DB14672, DB14028, DB00801, DB01567, DB01588, DB01511, DB00690, DB00628, DB13437"
DB00232,1,"DB00232, DB01021, DB08645, DB01324, DB15861, DB13430, DB13532, DB13989, DB00999, DB00606"
DB00233,0,"DB00233, DB00244, DB00936, DB02839, DB01397, DB02362, DB14006, DB01401"
DB00234,0,"DB00234, DB12395, DB09186"
DB00235,0,DB00235
DB00236,0,DB00236
DB00237,0,"DB00237, DB00312, DB01353, DB00306, DB01351, DB01483, DB13770, DB00418, DB01352, DB00241, DB00463, DB13577"
DB00238,0,"DB00238, DB08665"
DB00239,0,DB00239
DB00240,1,"DB00240, DB00764, DB00860, DB00959, DB14221, DB00838, DB00394, DB13208, DB00896, DB13856, DB15970, DB14652, DB14631"
DB00241,0,"DB00241, DB00306, DB00418, DB13577, DB01352, DB01353, DB13253, DB00237, DB01351, DB13770, DB00312, DB01483"
DB00242,0,"DB00242, DB02103, DB00631, DB16075, DB17756, DB00194, DB00640, DB03528, DB07170, DB02947, DB04102, DB12156, DB03716, DB01073, DB04441, DB15653, DB06843, DB02916, DB03273, DB11933, DB02607, DB02282, DB02373, DB00131, DB03011, DB07052, DB04440, DB03735, DB01910, DB04853"
DB00243,0,DB00243
DB00244,0,"DB00244, DB00233, DB02054, DB00936, DB01250, DB01397, DB02839"
DB00245,0,"DB00245, DB13468, DB00283, DB01146, DB07494, DB13466"
DB00246,0,DB00246
DB00247,0,"DB00247, DB00353, DB01253, DB04829, DB00589, DB00696"
DB00248,0,"DB00248, DB13399, DB13520, DB01186"
DB00249,0,"DB00249, DB02256, DB15427, DB06485, DB02324, DB03274, DB01265, DB04485, DB02745, DB00322, DB12028, DB13421, DB13030, DB03800, DB03448, DB03312, DB13776, DB01629, DB06683, DB14913, DB08432, DB01643, DB00432, DB03761, DB03413, DB03685, DB02714, DB02805, DB12947, DB12901"
DB00250,0,DB00250
DB00251,0,"DB00251, DB01167, DB01026, DB05667"
DB00252,0,"DB00252, DB00532, DB00754, DB13396, DB13276"
DB00253,1,"DB00253, DB04652, DB04630, DB00741, DB13710, DB13230, DB14570, DB00624, DB01471, DB01543, DB01564, DB05830, DB06710, DB07768, DB11429, DB12787, DB13169, DB13533, DB14093, DB18000, DB09091, DB14584, DB01481, DB01572, DB01485, DB01500, DB01540, DB00367, DB00717, DB09389"
DB00254,0,"DB00254, DB00595, DB00759, DB00931, DB09550, DB09093, DB00256, DB01301, DB13092, DB00618, DB01017, DB00453, DB12035, DB00560, DB12455, DB12329, DB15040, DB11647, DB13264, DB11691"
DB00255,0,DB00255
DB00256,0,"DB00256, DB01301, DB00759, DB09550, DB00595, DB09093, DB00453, DB00254, DB00618, DB00931, DB13092, DB01017, DB12035, DB13264, DB12455, DB00560, DB15040, DB12329, DB11647, DB05168, DB00361, DB11691, DB03469, DB11191, DB03614, DB00200, DB11467, DB12674, DB11641"
DB00257,0,DB00257
DB00258,0,"DB00258, DB03166, DB14511, DB15111, DB09395, DB09409, DB13996, DB14487, DB14498, DB14518"
DB00259,0,"DB00259, DB04203"
DB00260,0,"DB00260, DB17627"
DB00261,0,DB00261
DB00262,0,DB00262
DB00263,0,"DB00263, DB14033"
